Song,Artist,Country,Year,Language,Grand Final Place,Grand Final Points,Semifinal,Semifinal Place,Semifinal Points
Beatles,Forbes,Sweden,1977,Swedish,18.0,2.0,,,
Swiss Lady,Pepe Lienhard Band,Switzerland,1977,German,6.0,71.0,,,
Rock Bottom,Lynsey de Paul & Mike Moran,United Kingdom,1977,English,2.0,121.0,,,
Mrs. Caroline Robinson,Springtime,Austria,1978,German,15.0,14.0,,,
L'amour ça fait chanter la vie,Jean Vallée,Belgium,1978,French,2.0,125.0,,,
Boom Boom,Mabel,Denmark,1978,Danish,16.0,13.0,,,
Anna rakkaudelle tilaisuus,Seija Simola,Finland,1978,Finnish,18.0,2.0,,,
Il y aura toujours des violons,Joël Prévost,France,1978,French,3.0,119.0,,,
Feuer,Ireen Sheer,Germany,1978,German,6.0,84.0,,,
Charlie Chaplin (Τσάρλυ Τσάπλιν),Tania Tsanaklidou,Greece,1978,Greek,8.0,66.0,,,
Born to Sing,Colm C. T. Wilkinson,Ireland,1978,English,5.0,86.0,,,
A-Ba-Ni-Bi (א-ב-ני-בי),Izhar Cohen and the Alphabeta,Israel,1978,Hebrew,1.0,157.0,,,
Questo amore,Ricchi e Poveri,Italy,1978,Italian,12.0,53.0,,,
Parlez-vous français?,Baccara,Luxembourg,1978,French,7.0,73.0,,,
Les jardins de Monaco,Caline & Olivier Toussaint,Monaco,1978,French,4.0,107.0,,,
t Is OK,Harmony,Netherlands,1978,Dutch,13.0,37.0,,,
Mil etter mil,Jahn Teigen,Norway,1978,Norwegian,20.0,0.0,,,
Dai li dou,Gemini,Portugal,1978,Portuguese,17.0,5.0,,,
Bailemos un vals,José Vélez,Spain,1978,Spanish,9.0,65.0,,,
Det blir alltid värre framåt natten,Björn Skifs,Sweden,1978,Swedish,14.0,26.0,,,
Vivre,Carole Vinci,Switzerland,1978,French,9.0,65.0,,,
Sevince,Nilüfer & Nazar,Turkey,1978,Turkish,18.0,2.0,,,
The Bad Old Days,Co-Co,United Kingdom,1978,English,11.0,61.0,,,
Heute in Jerusalem,Christina Simon,Austria,1979,German,18.0,5.0,,,
Hey Nana,Micha Marah,Belgium,1979,Dutch,18.0,5.0,,,
Disco Tango,Tommy Seebach,Denmark,1979,Danish,6.0,76.0,,,
Katson sineen taivaan,Katri Helena,Finland,1979,Finnish,14.0,38.0,,,
Je suis l'enfant soleil,Anne-Marie David,France,1979,French,3.0,106.0,,,
Dschinghis Khan,Dschinghis Khan,Germany,1979,German,4.0,86.0,,,
Sokrati (Σωκράτη),Elpida,Greece,1979,Greek,8.0,69.0,,,
Happy Man,Cathal Dunne,Ireland,1979,English,5.0,80.0,,,
Hallelujah (הללויה),Milk and Honey,Israel,1979,Hebrew,1.0,125.0,,,
Raggio di luna,Matia Bazar,Italy,1979,Italian,15.0,27.0,,,
J'ai déjà vu ça dans tes yeux,Jeane Manson,Luxembourg,1979,French,13.0,44.0,,,
Notre vie c'est la musique,Laurent Vaguener,Monaco,1979,French,16.0,12.0,,,
Colorado,Xandra,Netherlands,1979,Dutch,12.0,51.0,,,
Oliver,Anita Skorgan,Norway,1979,Norwegian,11.0,57.0,,,
"Sobe, sobe, balão sobe",Manuela Bravo,Portugal,1979,Portuguese,9.0,64.0,,,
Su canción,Betty Missiego,Spain,1979,Spanish,2.0,116.0,,,
Satellit,Ted Gärdestad,Sweden,1979,Swedish,17.0,8.0,,,
Trödler und Co,"Peter, Sue, Marc, Pfuri, Gorps and Kniri",Switzerland,1979,German,10.0,60.0,,,
Mary Ann,Black Lace,United Kingdom,1979,English,7.0,73.0,,,
Du bist Musik,Blue Danube,Austria,1980,German,8.0,64.0,,,
Euro-Vision,Telex,Belgium,1980,French,17.0,14.0,,,
Tænker altid på dig,Bamses Venner,Denmark,1980,Danish,14.0,25.0,,,
Huilumies,Vesa-Matti Loiri,Finland,1980,Finnish,19.0,6.0,,,
"Hé, hé, m'sieurs dames",Profil,France,1980,French,11.0,45.0,,,
Theater,Katja Ebstein,Germany,1980,German,2.0,128.0,,,
Autostop (Ωτοστόπ),Anna Vissi and the Epikouri,Greece,1980,Greek,13.0,30.0,,,
What's Another Year,Johnny Logan,Ireland,1980,English,1.0,143.0,,,
Non so che darei,Alan Sorrenti,Italy,1980,Italian,6.0,87.0,,,
Papa pingouin,Sophie & Magaly,Luxembourg,1980,French,9.0,56.0,,,
Bitaqat Hub (بطاقة حب),Samira Bensaïd,Morocco,1980,Arabic,18.0,7.0,,,
Amsterdam,Maggie MacNeal,Netherlands,1980,Dutch,5.0,93.0,,,
Sámiid ædnan,Sverre Kjelsberg & Mattis Hætta,Norway,1980,Norwegian,16.0,15.0,,,
Sámiid ædnan,Sverre Kjelsberg & Mattis Hætta,Norway,1980,Northern Sami,16.0,15.0,,,
"Um grande, grande amor",José Cid,Portugal,1980,Portuguese,7.0,71.0,,,
Quédate esta noche,Trigo Limpio,Spain,1980,Spanish,12.0,38.0,,,
Just nu!,Tomas Ledin,Sweden,1980,Swedish,10.0,47.0,,,
Cinéma,Paola,Switzerland,1980,French,4.0,104.0,,,
Pet'r Oil,Ajda Pekkan,Turkey,1980,Turkish,15.0,23.0,,,
Love Enough for Two,Prima Donna,United Kingdom,1980,English,3.0,106.0,,,
Wenn du da bist,Marty Brem,Austria,1981,German,17.0,20.0,,,
Samson,Emly Starr,Belgium,1981,Dutch,13.0,40.0,,,
Monika (Μόνικα),Island,Cyprus,1981,Greek,6.0,69.0,,,
Krøller eller ej,Tommy Seebach & Debbie Cameron,Denmark,1981,Danish,11.0,41.0,,,
Reggae OK,Riki Sorsa,Finland,1981,Finnish,16.0,27.0,,,
Humanahum,Jean Gabilou,France,1981,French,3.0,125.0,,,
Johnny Blue,Lena Valaitis,Germany,1981,German,2.0,132.0,,,
Feggari kalokerino (Φεγγάρι καλοκαιρινό),Yiannis Dimitras,Greece,1981,Greek,8.0,55.0,,,
Horoscopes,Sheeba,Ireland,1981,English,5.0,105.0,,,
Halayla (הלילה),Hakol Over Habibi,Israel,1981,Hebrew,7.0,56.0,,,
C'est peut-être pas l'Amérique,Jean-Claude Pascal,Luxembourg,1981,French,11.0,41.0,,,
Het is een wonder,Linda Williams,Netherlands,1981,Dutch,9.0,51.0,,,
Aldri i livet,Finn Kalvik,Norway,1981,Norwegian,20.0,0.0,,,
Playback,Carlos Paião,Portugal,1981,Portuguese,18.0,9.0,,,
Y sólo tú,Bacchelli,Spain,1981,Spanish,14.0,38.0,,,
Fångad i en dröm,Björn Skifs,Sweden,1981,Swedish,10.0,50.0,,,
Io senza te,"Peter, Sue and Marc",Switzerland,1981,Italian,4.0,121.0,,,
Dönme Dolap,Modern Folk Üçlüsü & Ayşegül,Turkey,1981,Turkish,18.0,9.0,,,
Making Your Mind Up,Bucks Fizz,United Kingdom,1981,English,1.0,136.0,,,
Lejla,"Seid Memić ""Vajta""",Yugoslavia,1981,Serbo-Croatian,15.0,35.0,,,
Sonntag,Mess,Austria,1982,German,9.0,57.0,,,
Si tu aimes ma musique,Stella,Belgium,1982,French,4.0,96.0,,,
Mono i agapi (Μόνο η αγάπη),Anna Vissi,Cyprus,1982,Greek,5.0,85.0,,,
"Video, Video",Brixx,Denmark,1982,Danish,17.0,5.0,,,
Nuku pommiin,Kojo,Finland,1982,Finnish,18.0,0.0,,,
Ein bißchen Frieden,Nicole,Germany,1982,German,1.0,161.0,,,
Here Today Gone Tomorrow,The Duskeys,Ireland,1982,English,11.0,49.0,,,
Hora (הורה),Avi Toledano,Israel,1982,Hebrew,2.0,100.0,,,
Cours après le temps,Svetlana,Luxembourg,1982,French,6.0,78.0,,,
Jij en ik,Bill van Dijk,Netherlands,1982,Dutch,16.0,8.0,,,
Adieu,Jahn Teigen & Anita Skorgan,Norway,1982,Norwegian,12.0,40.0,,,
Bem bom,Doce,Portugal,1982,Portuguese,13.0,32.0,,,
Él,Lucía,Spain,1982,Spanish,10.0,52.0,,,
Dag efter dag,Chips,Sweden,1982,Swedish,8.0,67.0,,,
Amour on t'aime,Arlette Zola,Switzerland,1982,French,3.0,97.0,,,
Hani?,Neco,Turkey,1982,Turkish,15.0,20.0,,,
One Step Further,Bardo,United Kingdom,1982,English,7.0,76.0,,,
"Halo, halo (Хало, хало)",Aska,Yugoslavia,1982,Serbo-Croatian,14.0,21.0,,,
Hurricane,Westend,Austria,1983,German,9.0,53.0,,,
Rendez-vous,Pas de Deux,Belgium,1983,Dutch,18.0,13.0,,,
I agapi akoma zi (Η αγάπη ακόμα ζει),Stavros & Constantina,Cyprus,1983,Greek,16.0,26.0,,,
Kloden drejer,Gry Johansen,Denmark,1983,Danish,17.0,16.0,,,
Fantasiaa,Ami Aspelund,Finland,1983,Finnish,11.0,41.0,,,
Vivre,Guy Bonnet,France,1983,French,8.0,56.0,,,
Rücksicht,Hoffmann & Hoffmann,Germany,1983,German,5.0,94.0,,,
Mou les (Μου λες),Christie Stasinopoulou,Greece,1983,Greek,14.0,32.0,,,
Hi (חי),Ofra Haza,Israel,1983,Hebrew,2.0,136.0,,,
Per Lucia,Riccardo Fogli,Italy,1983,Italian,11.0,41.0,,,
Si la vie est cadeau,Corinne Hermès,Luxembourg,1983,French,1.0,142.0,,,
Sing Me a Song,Bernadette,Netherlands,1983,Dutch,7.0,66.0,,,
Do Re Mi,Jahn Teigen,Norway,1983,Norwegian,9.0,53.0,,,
Esta balada que te dou,Armando Gama,Portugal,1983,Portuguese,13.0,33.0,,,
¿Quién maneja mi barca?,Remedios Amaya,Spain,1983,Spanish,19.0,0.0,,,
Främling,Carola Häggkvist,Sweden,1983,Swedish,3.0,126.0,,,
Io così non ci sto,Mariella Farré,Switzerland,1983,Italian,15.0,28.0,,,
Opera,Çetin Alp & the Short Waves,Turkey,1983,Turkish,19.0,0.0,,,
I'm Never Giving Up,Sweet Dreams,United Kingdom,1983,English,6.0,79.0,,,
Džuli,Daniel,Yugoslavia,1983,Serbo-Croatian,4.0,125.0,,,
Einfach weg,Anita,Austria,1984,German,19.0,5.0,,,
Avanti la vie,Jacques Zegers,Belgium,1984,French,5.0,70.0,,,
Anna Maria Lena (Άννα Μαρία Λένα),Andy Paul,Cyprus,1984,Greek,15.0,31.0,,,
Det' lige det,Hot Eyes,Denmark,1984,Danish,4.0,101.0,,,
Hengaillaan,Kirka,Finland,1984,Finnish,9.0,46.0,,,
Autant d'amoureux que d'étoiles,Annick Thoumazeau,France,1984,French,8.0,61.0,,,
Aufrecht geh'n,Mary Roos,Germany,1984,German,13.0,34.0,,,
Terminal 3,Linda Martin,Ireland,1984,English,2.0,137.0,,,
I treni di Tozeur,Alice & Franco Battiato,Italy,1984,Italian,5.0,70.0,,,
100% d'amour,Sophie Carle,Luxembourg,1984,French,10.0,39.0,,,
Ik hou van jou,Maribelle,Netherlands,1984,Dutch,13.0,34.0,,,
Lenge leve livet,Dollie de Luxe,Norway,1984,Norwegian,17.0,29.0,,,
Silêncio e tanta gente,Maria Guinot,Portugal,1984,Portuguese,11.0,38.0,,,
"Lady, Lady",Bravo,Spain,1984,Spanish,3.0,106.0,,,
Diggi-Loo Diggi-Ley,Herreys,Sweden,1984,Swedish,1.0,145.0,,,
Welche Farbe hat der Sonnenschein?,Rainy Day,Switzerland,1984,German,16.0,30.0,,,
Halay,"Beş Yıl Önce, On Yıl Sonra",Turkey,1984,Turkish,12.0,37.0,,,
Love Games,Belle and the Devotions,United Kingdom,1984,English,7.0,63.0,,,
"Ciao, amore",Vlado & Isolda,Yugoslavia,1984,Serbo-Croatian,18.0,26.0,,,
Kinder dieser Welt,Gary Lux,Austria,1985,German,8.0,60.0,,,
Laat me nu gaan,Linda Lepomme,Belgium,1985,Dutch,19.0,7.0,,,
To katalava arga (Το κατάλαβα αργά),Lia Vissi,Cyprus,1985,Greek,16.0,15.0,,,
Sku' du spørg' fra no'en?,Hot Eyes,Denmark,1985,Danish,11.0,41.0,,,
Eläköön elämä,Sonja Lumme,Finland,1985,Finnish,9.0,58.0,,,
Femme dans ses rêves aussi,Roger Bens,France,1985,French,10.0,56.0,,,
Für alle,Wind,Germany,1985,German,2.0,105.0,,,
Miazoume (Μοιάζουμε),Takis Biniaris,Greece,1985,Greek,16.0,15.0,,,
Wait Until the Weekend Comes,Maria Christian,Ireland,1985,English,6.0,91.0,,,
"Olé, Olé (עולה, עולה)",Izhar Cohen,Israel,1985,Hebrew,5.0,93.0,,,
Magic Oh Magic,Al Bano & Romina Power,Italy,1985,Italian,7.0,78.0,,,
"Children, Kinder, Enfants","Margo, Franck Olivier, Diane Solomon, Ireen Sheer, Chris & Malcolm Roberts",Luxembourg,1985,French,13.0,37.0,,,
La det swinge,Bobbysocks!,Norway,1985,Norwegian,1.0,123.0,,,
"Penso em ti, eu sei",Adelaide,Portugal,1985,Portuguese,18.0,9.0,,,
La fiesta terminó,Paloma San Basilio,Spain,1985,Spanish,14.0,36.0,,,
Bra vibrationer,Kikki Danielsson,Sweden,1985,Swedish,3.0,103.0,,,
"Piano, piano",Mariella Farré & Pino Gasparini,Switzerland,1985,German,12.0,39.0,,,
Didai didai dai,MFÖ,Turkey,1985,Turkish,14.0,36.0,,,
Love Is…,Vikki,United Kingdom,1985,English,4.0,100.0,,,
Die Zeit ist einsam,Timna Brauer,Austria,1986,German,18.0,12.0,,,
J'aime la vie,Sandra Kim,Belgium,1986,French,1.0,176.0,,,
Tora zo (Τώρα ζω),Elpida,Cyprus,1986,Greek,20.0,4.0,,,
Du er fuld af løgn,Lise Haavik,Denmark,1986,Danish,6.0,77.0,,,
Never the End,Kari Kuivalainen,Finland,1986,Finnish,15.0,22.0,,,
Européennes,Cocktail Chic,France,1986,French,17.0,13.0,,,
Über die Brücke geh'n,Ingrid Peters,Germany,1986,German,8.0,62.0,,,
Gleðibankinn,ICY,Iceland,1986,Icelandic,16.0,19.0,,,
You Can Count On Me,Luv Bug,Ireland,1986,English,4.0,96.0,,,
Yavo Yom (יבוא יום),Moti Giladi & Sarai Tzuriel,Israel,1986,Hebrew,19.0,7.0,,,
L'amour de ma vie,Sherisse Laurence,Luxembourg,1986,French,3.0,117.0,,,
Alles heeft ritme,Frizzle Sizzle,Netherlands,1986,Dutch,13.0,40.0,,,
Romeo,Ketil Stokkan,Norway,1986,Norwegian,12.0,44.0,,,
Não sejas mau para mim,Dora,Portugal,1986,Portuguese,14.0,28.0,,,
Valentino,Cadillac,Spain,1986,Spanish,10.0,51.0,,,
E' de' det här du kallar kärlek?,Lasse Holm & Monica Törnell,Sweden,1986,Swedish,5.0,78.0,,,
Pas pour moi,Daniela Simmons,Switzerland,1986,French,2.0,140.0,,,
Halley,Klips ve Onlar,Turkey,1986,Turkish,9.0,53.0,,,
Runner in the Night,Ryder,United Kingdom,1986,English,7.0,72.0,,,
Željo moja,Doris Dragović,Yugoslavia,1986,Serbo-Croatian,11.0,49.0,,,
Nur noch Gefühl,Gary Lux,Austria,1987,German,20.0,8.0,,,
Soldiers of Love,Liliane Saint-Pierre,Belgium,1987,Dutch,11.0,56.0,,,
Aspro-mavro (Άσπρο-μαύρο),Alexia,Cyprus,1987,Greek,7.0,80.0,,,
En lille melodi,Anne-Cathrine Herdorf & Bandjo,Denmark,1987,Danish,5.0,83.0,,,
Sata salamaa,Vicky Rosti & Boulevard,Finland,1987,Finnish,15.0,32.0,,,
Les mots d'amour n'ont pas de dimanche,Christine Minier,France,1987,French,14.0,44.0,,,
Lass die Sonne in dein Herz,Wind,Germany,1987,German,2.0,141.0,,,
Stop (Στοπ),Bang,Greece,1987,Greek,10.0,64.0,,,
Hægt og hljótt,Halla Margrét,Iceland,1987,Icelandic,16.0,28.0,,,
Hold Me Now,Johnny Logan,Ireland,1987,English,1.0,172.0,,,
Shir Habatlanim (שיר הבטלנים),"Natan Datner and Avi Kushnir (as ""Lazy Bums"")",Israel,1987,Hebrew,8.0,73.0,,,
Gente di mare,Umberto Tozzi & Raf,Italy,1987,Italian,3.0,103.0,,,
"Amour, amour",Plastic Bertrand,Luxembourg,1987,French,21.0,4.0,,,
Rechtop in de wind,Marcha,Netherlands,1987,Dutch,5.0,83.0,,,
Mitt liv,Kate Gulbrandsen,Norway,1987,Norwegian,9.0,65.0,,,
Neste barco à vela,Nevada,Portugal,1987,Portuguese,18.0,15.0,,,
No estás solo,Patricia Kraus,Spain,1987,Spanish,19.0,10.0,,,
Boogaloo,Lotta Engberg,Sweden,1987,Swedish,12.0,50.0,,,
"Moitié, moitié",Carol Rich,Switzerland,1987,French,17.0,26.0,,,
Şarkım Sevgi Üstüne,Seyyal Taner & Lokomotif,Turkey,1987,Turkish,22.0,0.0,,,
Only the Light,Rikki,United Kingdom,1987,English,13.0,47.0,,,
Ja sam za ples,Novi fosili,Yugoslavia,1987,Serbo-Croatian,4.0,92.0,,,
Lisa Mona Lisa,Wilfried,Austria,1988,German,21.0,0.0,,,
Laissez briller le soleil,Reynaert,Belgium,1988,French,18.0,5.0,,,
Ka' du se hva' jeg sa'?,Hot Eyes,Denmark,1988,Danish,3.0,92.0,,,
Nauravat silmät muistetaan,Boulevard,Finland,1988,Finnish,20.0,3.0,,,
Chanteur de charme,Gérard Lenorman,France,1988,French,10.0,64.0,,,
Lied für einen Freund,Maxi & Chris Garden,Germany,1988,German,14.0,48.0,,,
Clown (Κλόουν),Afroditi Frida,Greece,1988,Greek,17.0,10.0,,,
Þú og þeir (Sókrates),Beathoven,Iceland,1988,Icelandic,16.0,20.0,,,
Take Him Home,Jump the Gun,Ireland,1988,English,8.0,79.0,,,
Ben Adam (בן אדם),Yardena Arazi,Israel,1988,Hebrew,7.0,85.0,,,
Vivo (Ti scrivo),Luca Barbarossa,Italy,1988,Italian,12.0,52.0,,,
Croire,Lara Fabian,Luxembourg,1988,French,4.0,90.0,,,
Shangri-La,Gerard Joling,Netherlands,1988,Dutch,9.0,70.0,,,
For vår jord,Karoline Krüger,Norway,1988,Norwegian,5.0,88.0,,,
Voltarei,Dora,Portugal,1988,Portuguese,18.0,5.0,,,
La chica que yo quiero (Made in Spain),La Década,Spain,1988,Spanish,11.0,58.0,,,
Stad i ljus,Tommy Körberg,Sweden,1988,Swedish,12.0,52.0,,,
Ne partez pas sans moi,Céline Dion,Switzerland,1988,French,1.0,137.0,,,
Sufi,MFÖ,Turkey,1988,Turkish,15.0,37.0,,,
Go,Scott Fitzgerald,United Kingdom,1988,English,2.0,136.0,,,
Mangup,Srebrna krila,Yugoslavia,1988,Serbo-Croatian,6.0,87.0,,,
Nur ein Lied,Thomas Forstner,Austria,1989,German,5.0,97.0,,,
Door de wind,Ingeborg,Belgium,1989,Dutch,19.0,13.0,,,
Apopse as vrethume (Απόψε ας βρεθούμε),Fani Polymeri & Yiannis Savvidakis,Cyprus,1989,Greek,11.0,51.0,,,
Vi maler byen rød,Birthe Kjær,Denmark,1989,Danish,3.0,111.0,,,
La dolce vita,Anneli Saaristo,Finland,1989,Finnish,7.0,76.0,,,
J'ai volé la vie,Nathalie Pâque,France,1989,French,8.0,60.0,,,
Flieger,Nino de Angelo,Germany,1989,German,14.0,46.0,,,
To diko sou asteri (Το δικό σου αστέρι),Marianna Efstratiou,Greece,1989,Greek,9.0,56.0,,,
Það sem enginn sér,Daníel Ágúst Haraldsson,Iceland,1989,Icelandic,22.0,0.0,,,
The Real Me,Kiev Connolly & The Missing Passengers,Ireland,1989,English,18.0,21.0,,,
Derekh Hamelekh (דרך המלך),Gili Netanel & Galit Burg-Michael,Israel,1989,Hebrew,12.0,50.0,,,
Avrei voluto,Anna Oxa & Fausto Leali,Italy,1989,Italian,9.0,56.0,,,
Monsieur,Park Café,Luxembourg,1989,French,20.0,8.0,,,
Blijf zoals je bent,Justine Pelmelay,Netherlands,1989,Dutch,15.0,45.0,,,
Venners nærhet,Britt Synnøve Johansen,Norway,1989,Norwegian,17.0,30.0,,,
Conquistador,Da Vinci,Portugal,1989,Portuguese,16.0,39.0,,,
Nacida para amar,Nina,Spain,1989,Spanish,6.0,88.0,,,
En dag,Tommy Nilsson,Sweden,1989,Swedish,4.0,110.0,,,
Viver senza tei,Furbaz,Switzerland,1989,Romansh,13.0,47.0,,,
Bana Bana,Pan,Turkey,1989,Turkish,21.0,5.0,,,
Why Do I Always Get it Wrong?,Live Report,United Kingdom,1989,English,2.0,130.0,,,
Rock Me,Riva,Yugoslavia,1989,Serbo-Croatian,1.0,137.0,,,
Keine Mauern mehr,Simone,Austria,1990,German,10.0,58.0,,,
Macédomienne,Philippe Lafontaine,Belgium,1990,French,12.0,46.0,,,
Milas poli (Μιλάς πολύ),Haris Anastasiou,Cyprus,1990,Greek,14.0,36.0,,,
Hallo Hallo,Lonnie Devantier,Denmark,1990,Danish,8.0,64.0,,,
Fri?,Beat,Finland,1990,Swedish,21.0,8.0,,,
White and Black Blues,Joëlle Ursull,France,1990,French,2.0,132.0,,,
Frei zu leben,Chris Kempers & Daniel Kovac,Germany,1990,German,9.0,60.0,,,
Horis skopo (Χωρίς σκοπό),Christos Callow & Wave,Greece,1990,Greek,19.0,11.0,,,
Eitt lag enn,Stjórnin,Iceland,1990,Icelandic,4.0,124.0,,,
Somewhere in Europe,Liam Reilly,Ireland,1990,English,2.0,132.0,,,
Shara Barkhovot (שרה ברחובות),Rita,Israel,1990,Hebrew,18.0,16.0,,,
Insieme: 1992,Toto Cutugno,Italy,1990,Italian,1.0,149.0,,,
Quand je te rêve,Céline Carzo,Luxembourg,1990,French,13.0,38.0,,,
Ik wil alles met je delen,Maywood,Netherlands,1990,Dutch,15.0,25.0,,,
Brandenburger Tor,Ketil Stokkan,Norway,1990,Norwegian,21.0,8.0,,,
Há sempre alguém,Nucha,Portugal,1990,Portuguese,20.0,9.0,,,
Bandido,Azúcar Moreno,Spain,1990,Spanish,5.0,96.0,,,
Som en vind,Edin-Ådahl,Sweden,1990,Swedish,16.0,24.0,,,
Musik klingt in die Welt hinaus,Egon Egemann,Switzerland,1990,German,11.0,51.0,,,
Gözlerinin Hapsindeyim,Kayahan,Turkey,1990,Turkish,17.0,21.0,,,
Give a Little Love Back to the World,Emma,United Kingdom,1990,English,6.0,87.0,,,
Hajde da ludujemo,Tajči,Yugoslavia,1990,Serbo-Croatian,7.0,81.0,,,
Venedig im Regen,Thomas Forstner,Austria,1991,German,22.0,0.0,,,
Geef het op,Clouseau,Belgium,1991,Dutch,16.0,23.0,,,
SOS,Elena Patroklou,Cyprus,1991,Greek,9.0,60.0,,,
Lige der hvor hjertet slår,Anders Frandsen,Denmark,1991,Danish,19.0,8.0,,,
Hullu yö,Kaija Kärkinen,Finland,1991,Finnish,20.0,6.0,,,
C'est le dernier qui a parlé qui a raison,Amina,France,1991,French,2.0,146.0,,,
Dieser Traum darf niemals sterben,Atlantis 2000,Germany,1991,German,18.0,10.0,,,
I anixi(Η άνοιξη),Sophia Vossou,Greece,1991,Greek,13.0,36.0,,,
Nína,Stefán & Eyfi,Iceland,1991,Icelandic,15.0,26.0,,,
Could It Be That I'm In Love,Kim Jackson,Ireland,1991,English,10.0,47.0,,,
Kan (כאן),Duo Datz,Israel,1991,Hebrew,3.0,139.0,,,
Comme è ddoce 'o mare,Peppino di Capri,Italy,1991,Neapolitan,7.0,89.0,,,
Un baiser volé,Sarah Bray,Luxembourg,1991,French,14.0,29.0,,,
Could It Be,Georgina & Paul Giordimaina,Malta,1991,English,6.0,106.0,,,
Mrs. Thompson,Just 4 Fun,Norway,1991,Norwegian,17.0,14.0,,,
Lusitana paixão,Dulce Pontes,Portugal,1991,Portuguese,8.0,62.0,,,
Bailar pegados,Sergio Dalma,Spain,1991,Spanish,4.0,119.0,,,
Fångad av en stormvind,Carola,Sweden,1991,Swedish,1.0,146.0,,,
Canzone per te,Sandra Simó,Switzerland,1991,Italian,5.0,118.0,,,
İki Dakika,"İzel Çeliköz, Reyhan Karaca & Can Uğurluer",Turkey,1991,Turkish,12.0,44.0,,,
A Message to Your Heart,Samantha Janus,United Kingdom,1991,English,10.0,47.0,,,
Brazil (Бразил),Baby Doll,Yugoslavia,1991,Serbo-Croatian,21.0,1.0,,,
Zusammen geh'n,Tony Wegas,Austria,1992,German,10.0,63.0,,,
"Nous, on veut des violons",Morgane,Belgium,1992,French,20.0,11.0,,,
Teriazoume (Ταιριάζουμε),Evridiki,Cyprus,1992,Greek,11.0,57.0,,,
Alt det som ingen ser,Kenny Lübcke & Lotte Nilsson,Denmark,1992,Danish,12.0,47.0,,,
"Yamma, yamma",Pave Maijanen,Finland,1992,Finnish,23.0,4.0,,,
Ljubim te pesmama (Љубим те песмама),Extra Nena,Yugoslavia,1992,Serbo-Croatian,13.0,44.0,,,
Monté la riviè,Kali,France,1992,French,8.0,73.0,,,
Monté la riviè,Kali,France,1992,Antillean Creole,8.0,73.0,,,
Träume sind für alle da,Wind,Germany,1992,German,16.0,27.0,,,
Olou tou kosmou i Elpida (Όλου του κόσμου η Ελπίδα),Cleopatra,Greece,1992,Greek,5.0,94.0,,,
Nei eða já,Heart 2 Heart,Iceland,1992,Icelandic,7.0,80.0,,,
Why Me?,Linda Martin,Ireland,1992,English,1.0,155.0,,,
Ze Rak Sport (זה רק ספורט),Dafna Dekel,Israel,1992,Hebrew,6.0,85.0,,,
Rapsodia,Mia Martini,Italy,1992,Italian,4.0,111.0,,,
Sou fräi,Marion Welter & Kontinent,Luxembourg,1992,Luxembourgish,21.0,10.0,,,
Little Child,Mary Spiteri,Malta,1992,English,3.0,123.0,,,
Wijs me de weg,Humphrey Campbell,Netherlands,1992,Dutch,9.0,67.0,,,
Visjoner,Merethe Trøan,Norway,1992,Norwegian,18.0,23.0,,,
Amor d'água fresca,Dina,Portugal,1992,Portuguese,17.0,26.0,,,
Todo esto es la música,Serafín,Spain,1992,Spanish,14.0,37.0,,,
I morgon är en annan dag,Christer Björkman,Sweden,1992,Swedish,22.0,9.0,,,
Mister Music Man,Daisy Auvray,Switzerland,1992,French,15.0,32.0,,,
Yaz Bitti,Aylin Vatankoş,Turkey,1992,Turkish,19.0,17.0,,,
One Step Out of Time,Michael Ball,United Kingdom,1992,English,2.0,139.0,,,
Maria Magdalena,Tony Wegas,Austria,1993,German,14.0,32.0,,,
Iemand als jij,Barbara Dex,Belgium,1993,Dutch,25.0,3.0,,,
Sva bol svijeta,Fazla,Bosnia and Herzegovina,1993,Serbo-Croatian,16.0,27.0,,,
Don't Ever Cry,Put,Croatia,1993,Croatian,15.0,31.0,,,
Don't Ever Cry,Put,Croatia,1993,English,15.0,31.0,,,
Mi stamatas (Μη σταματάς),Zimboulakis & Van Beke,Cyprus,1993,Greek,19.0,17.0,,,
Under stjernerne på himlen,Tommy Seebach Band,Denmark,1993,Danish,22.0,9.0,,,
Tule luo,Katri Helena,Finland,1993,Finnish,17.0,20.0,,,
Mama Corsica,Patrick Fiori,France,1993,French,4.0,121.0,,,
Mama Corsica,Patrick Fiori,France,1993,Corsican,4.0,121.0,,,
Viel zu weit,Münchener Freiheit,Germany,1993,German,18.0,18.0,,,
"Ellada, hora tou fotos (Ελλάδα, χώρα του φωτός)",Katerina Garbi,Greece,1993,Greek,9.0,64.0,,,
Þá veistu svarið,Inga,Iceland,1993,Icelandic,13.0,42.0,,,
In Your Eyes,Niamh Kavanagh,Ireland,1993,English,1.0,187.0,,,
Shiru (שירו),Lahakat Shiru,Israel,1993,Hebrew,24.0,4.0,,,
Shiru (שירו),Lahakat Shiru,Israel,1993,English,24.0,4.0,,,
Sole d'Europa,Enrico Ruggeri,Italy,1993,Italian,12.0,45.0,,,
Donne-moi une chance,Modern Times,Luxembourg,1993,French,20.0,11.0,,,
Donne-moi une chance,Modern Times,Luxembourg,1993,Luxembourgish,20.0,11.0,,,
This Time,William Mangion,Malta,1993,English,8.0,69.0,,,
Vrede,Ruth Jacott,Netherlands,1993,Dutch,6.0,92.0,,,
